#Spectrum of SDSS J141324.27+530526.9
#downloaded from http://skyserver.sdss.org/dr16/en/tools/quicklook/summary.aspx?ra=14%2013%2024&dec=53%2005%2027
#z = 0.4563313
#Wavelength,Flux,BestFit,SkyFlux
3805.397,28.067,27.213,17.112
3806.273,26.617,27.274,16.345
3807.150,29.163,27.309,15.277
3808.026,29.532,27.281,14.895
3808.904,30.333,27.182,15.120
3809.780,31.552,27.002,16.002
3810.659,29.212,27.004,16.981
3811.536,26.135,26.989,17.063
3812.412,27.173,27.143,16.699
3813.292,28.553,27.203,16.226
3814.169,29.346,27.029,15.385
3815.048,28.804,27.201,14.527
3815.926,27.485,27.222,13.430
3816.806,28.717,26.819,13.024
3817.684,31.930,26.749,13.877
3818.562,29.101,27.055,14.835
3819.443,31.135,27.283,14.506
3820.322,28.636,27.365,12.421
3821.202,28.393,27.206,10.726
3822.082,30.879,27.140,11.551
3822.963,29.617,27.219,13.199
3823.842,27.290,27.153,13.387
3824.724,31.101,26.968,12.102
3825.604,30.104,27.208,10.392
3826.484,28.373,27.116,9.485
3827.366,28.171,27.085,9.881
3828.247,28.170,27.138,10.710
3829.130,30.998,27.040,11.963
3830.011,29.853,26.823,13.132
3830.894,27.932,26.873,14.123
3831.775,27.168,26.740,14.038
3832.657,29.224,26.964,13.088
3833.540,32.446,26.961,11.673
3834.422,30.287,26.667,11.162
3835.307,30.782,26.596,11.532
3836.189,27.004,26.844,11.734
3837.073,27.616,26.505,11.846
3837.956,29.688,26.475,11.342
3838.839,25.871,26.614,10.684
3839.724,27.786,26.624,10.014
3840.608,30.888,26.413,9.859
3841.493,28.630,26.134,10.921
3842.377,28.985,26.510,12.424
3843.263,30.678,26.538,13.916
3844.147,27.927,26.251,14.973
3845.032,28.772,26.249,15.484
3845.918,29.669,26.558,15.489
3846.803,28.546,26.316,15.005
3847.690,26.585,26.127,15.211
3848.575,25.840,25.955,15.123
3849.463,26.671,25.833,14.397
3850.348,26.962,25.816,13.516
3851.234,28.512,25.872,13.389
3852.122,27.405,25.892,13.986
3853.008,28.633,25.937,14.074
3853.897,30.191,25.771,14.317
3854.783,27.145,25.668,13.454
3855.672,26.481,25.840,12.643
3856.559,29.156,26.020,12.112
3857.446,27.354,25.703,11.889
3858.336,25.005,25.653,11.425
3859.223,24.702,25.786,10.364
