# 1000 randomly selected quasars taken from the Shen SDSS DR7 Quasar Catalogue
# http://quasar.astro.illinois.edu/BH_mass/dr7.htm
# Columns are
# Right Ascension, Declination, redshift, log BH mass, log bolometric luminosity
1.485240000000000009e+02,2.285859999999999914e+01,2.101900000000000102e+00,9.603780000000000427e+00,4.745539999999999736e+01
1.410639999999999930e+02,2.172779999999999845e+01,2.081999999999999851e+00,8.170889999999999986e+00,4.622729999999999961e+01
2.091599999999999966e+02,6.673199999999999577e+00,1.175400000000000000e+00,9.668079999999999785e+00,4.634609999999999985e+01
1.521719999999999970e+02,3.638870000000000005e+01,3.125599999999999934e+00,1.004049999999999976e+01,4.770040000000000191e+01
1.188870000000000005e+02,1.195679999999999943e+01,8.277999999999999803e-01,7.678009999999999557e+00,4.560090000000000288e+01
1.775060000000000002e+02,8.558970000000000411e+00,1.467500000000000027e+00,8.836380000000000123e+00,4.646529999999999916e+01
2.202700000000000102e+02,4.730129999999999946e+00,1.112800000000000011e+00,8.660259999999999181e+00,4.630839999999999890e+01
1.539079999999999870e+02,3.903170000000000073e+01,5.094999999999999529e-01,8.554069999999999396e+00,4.548960000000000292e+01
2.340010000000000048e+02,4.861939999999999884e+01,6.424999999999999600e-01,8.804470000000000240e+00,4.642750000000000199e+01
2.048060000000000116e+02,2.730509999999999948e+01,6.818999999999999506e-01,8.678110000000000213e+00,4.531260000000000332e+01
1.880489999999999995e+01,3.369909999999999850e-01,2.118199999999999861e+00,9.415150000000000574e+00,4.661260000000000048e+01
1.620620000000000118e+02,4.628199999999999648e+01,1.932399999999999896e+00,9.817230000000000345e+00,4.707549999999999812e+01
1.645749999999999886e+02,1.986410000000000053e+01,1.114900000000000002e+00,9.420289999999999608e+00,4.690310000000000201e+01
2.533499999999999943e+02,1.821590000000000131e+01,1.488199999999999967e+00,8.970620000000000260e+00,4.665030000000000143e+01
1.348269999999999982e+02,8.650750000000000384e+00,1.672299999999999898e+00,8.687739999999999796e+00,4.611129999999999995e+01
3.227269999999999754e+02,1.250129999999999963e+00,2.509700000000000042e+00,1.059479999999999933e+01,4.733919999999999817e+01
1.723259999999999934e+02,5.126250000000000284e+01,1.872400000000000064e+00,9.150710000000000122e+00,4.613080000000000069e+01
2.253189999999999884e+02,6.201769999999999783e+01,1.992399999999999949e+00,9.418350000000000222e+00,4.679549999999999699e+01
1.716870000000000118e+02,8.461190000000000211e+00,1.308499999999999996e+00,9.289590000000000458e+00,4.645770000000000266e+01
2.137460000000000093e+02,1.779889999999999972e+01,3.790500000000000203e+00,9.856989999999999696e+00,4.725670000000000215e+01
1.407400000000000091e+02,2.113430000000000031e-01,1.073299999999999921e+00,9.132379999999999498e+00,4.649510000000000076e+01
2.455020000000000095e+02,3.667889999999999873e+01,1.985000000000000098e+00,9.201010000000000133e+00,4.663700000000000045e+01
1.396889999999999930e+02,7.789970000000000505e-01,1.562000000000000055e+00,8.672269999999999257e+00,4.595709999999999695e+01
1.944279999999999973e+02,4.692770000000000152e+01,4.003999999999999782e-01,8.625600000000000378e+00,4.539419999999999789e+01
2.015600000000000023e+02,4.382289999999999708e+01,8.817000000000000393e-01,9.036960000000000548e+00,4.633169999999999789e+01
2.264979999999999905e+02,3.082829999999999870e+01,2.854999999999999982e+00,9.545130000000000337e+00,4.660840000000000316e+01
1.749730000000000132e+02,4.569630000000000081e+01,1.929599999999999982e+00,9.903999999999999915e+00,4.733469999999999800e+01
2.417570000000000050e+02,4.574179999999999779e+01,1.844200000000000061e+00,8.566950000000000287e+00,4.610649999999999693e+01
